ksh_code,line_code,osm_id,osm_name,distance_m
27377,30,,Balatonberény,19.1
27410,92,,Putnok,4.8
27456,94,,Szendrőlád,3.4
27474,80,,Sárospatak,5.3
27571,150,,Kelebia,6.9
27580,84,,Nemti,9.0
27669,92,,Dubicsány,2.6
27696,87,,Maklár,2.7
27854,100,,Szolnok,1.4
27854,120a,,Szolnok,25.0
27854,264l,,Szolnok,237.2
27872,100,,Abony,2.6
27906,121,,Magyarbánhegyes,2.0
27915,78,,Mohora,5.7
27924,111,,Ópályi,4.6
27942,90,,Halmaj,3.1
28024,65,,Villány,2.9
28024,66,,Villány,5.2
28149,16,,Mosonszolnok,3.1
28158,150,,Kisszállás,26.0
28316,35,,Bábonymegyer,7.8
28334,8,,Kapuvár,5.6
28352,89,,Tiszaújváros,20.0
28398,80,,Tiszalúc,6.0
28431,100,,Kék,6.1
28440,110,,Nyírgelse,8.4
28486,150,,Tompa,3.6
28538,62,,Vajszló,3.4
28565,135,,Sarkad,1.4
28583,65,,Áta,3.1
28653,120a,,Szentmártonkáta,1.0
28662,40,,Belecska,4.6
28705,29,,Szabadbattyán,8.1
28705,30,,Szabadbattyán,1.0
28714,35,,Andocs,5.2
28741,61,,Sellye,9.3
28741,62,,Sellye,2.3
28802,100,,Nyírbogdány,3.1
28857,41,,Kutas,4.3
28936,11,,Bakonygyirót,0.0
28963,36,,Somogyjád,21.8
29018,40,,Pusztaszabolcs,5.3
29018,42,,Pusztaszabolcs,5.3
29018,44,,Pusztaszabolcs,10.6
29027,154,,Kunfehértó,5.4
29115,151,,Solt,2.4
29179,130,,Nagytőke,5.3
29203,20,,Boba,15.5
29203,25,,Boba,25.2
29221,16,,Jánossomorja,2.9
29319,75,,Ipolyvece,4.0
29434,26,,Tapolca vasútállomás,3.5
29434,29,,Tapolca vasútállomás,3.5
29498,111,,Varsány,7.7
29522,60,,Molvány,0.8
29531,128,,Vésztő,12.2
29647,150,,Dömsöd,4.8
29726,103,,Tiszafüred,2.5
29726,108,,Tiszafüred,2.0
29735,120a,,Gyömrő,7.6
29762,30,,Pettend,2.1
29780,60,,Vízvár,12.3
29805,1,,Bezenye,3.4
29869,25,,Nagyrákos,6.3
29896,16,,Porpác,13.1
29896,20,,Porpác,13.1
29939,306,,Felcsút,0.0
30094,50,,Csikóstőttős,3.7
30100,81,,Mátraverebély,6.9
30119,60,,Berzence,11.1
30128,121,,Medgyesegyháza,8.6
30182,20,,Kolontár,8.9
30313,25,,Zalalövő,2.5
30322,121,,Mezőkovácsháza,4.6
30340,89,,Sajószöged,4.9
30368,25,,Bagod,3.4
30401,81,,Lőrinci,6.7
30474,60,,Babócsa,4.7
30526,29,,Alsóörs,14.0
30553,12,,Környe,13.8
30553,13,,Környe,8.9
