ksh_code,settlement_name,county_name,line_code,line_name,service_area,service_area_id,status,reason
28741,Sellye,Baranya,61,61. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
28741,Sellye,Baranya,62,62. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
29018,Pusztaszabolcs,Fejér,44,44. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
29115,Solt,Bács-Kiskun,151,151. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
29319,Ipolyvece,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
29434,Tapolca,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
30340,Sajószöged,Borsod-Abaúj-Zemplén,89,89. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
30526,Alsóörs,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
30553,Környe,Komárom-Esztergom,12,12. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
30553,Környe,Komárom-Esztergom,13,13. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
30623,Tiszakécske,Bács-Kiskun,145,145. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
30641,Csenger,Szabolcs-Szatmár-Bereg,114,114. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
30766,Oroszlány,Komárom-Esztergom,12,12. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
31097,Hajdúsámson,Hajdú-Bihar,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
