ksh_code,reason
06114,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06123,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06132,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06141,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06169,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06178,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06187,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06196,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06202,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06211,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06220,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06239,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06248,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06257,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06266,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06275,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06284,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06293,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06309,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06318,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06327,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06336,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06345,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06354,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06363,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06372,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06381,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06390,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06406,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06415,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06424,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06433,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06442,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06451,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06460,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06479,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06488,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06497,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06503,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06512,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06521,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06530,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06549,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06558,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06567,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06576,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06585,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06594,NO_VERIFIED_RAILWAY_LINE_REFERENCE
06600,NO_VERIFIED_RAILWAY_LINE_REFERENCE
