ksh_code,settlement_name,county_name,area_code,basis
03896,Cserkút,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03902,Mád,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03911,Csákánydoroszló,Vas,ORSZEM-VAS,KSH_COUNTY
03939,Cigánd,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03948,Raposka,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
03957,Viszló,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03966,Ruzsa,Csongrád-Csanád,ORSZEM-CSONGRAD-CSANAD,KSH_COUNTY
03975,Baksa,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03984,Nagybudmér,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03993,Héhalom,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
04002,Zalacsány,Zala,ORSZEM-ZALA,KSH_COUNTY
04011,Budapest 19. ker.,főváros,ORSZEM-BUDAPEST,KSH_COUNTY
04020,Himod,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04039,Csorna,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04048,Tófű,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04057,Pécel,Pest,ORSZEM-PEST,KSH_COUNTY
04066,Küngös,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04075,Ócsa,Pest,ORSZEM-PEST,KSH_COUNTY
04084,Hevesvezekény,Heves,ORSZEM-HEVES,KSH_COUNTY
04093,Helvécia,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
04109,Dusnok,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
04118,Hortobágy,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
04127,Som,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
04136,Töttös,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04145,Hort,Heves,ORSZEM-HEVES,KSH_COUNTY
04154,Tárnok,Pest,ORSZEM-PEST,KSH_COUNTY
04163,Bödeháza,Zala,ORSZEM-ZALA,KSH_COUNTY
04172,Tárnokréti,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04181,Perőcsény,Pest,ORSZEM-PEST,KSH_COUNTY
04190,Köcsk,Vas,ORSZEM-VAS,KSH_COUNTY
04206,Mezőgyán,Békés,ORSZEM-BEKES,KSH_COUNTY
04215,Nyomár,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04224,Csörötnek,Vas,ORSZEM-VAS,KSH_COUNTY
04233,Aszaló,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04242,Nagykamarás,Békés,ORSZEM-BEKES,KSH_COUNTY
04251,Ecseg,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
04260,Mezőtúr,Jász-Nagykun-Szolnok,ORSZEM-JASZ-NAGYKUN-SZOLNOK,KSH_COUNTY
04279,Kamut,Békés,ORSZEM-BEKES,KSH_COUNTY
04288,Kispirit,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04297,Kacsóta,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04303,Püspökszilágy,Pest,ORSZEM-PEST,KSH_COUNTY
04312,Tarpa,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
04321,Bodorfa,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04330,Mátraszőlős,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
04349,Mórahalom,Csongrád-Csanád,ORSZEM-CSONGRAD-CSANAD,KSH_COUNTY
04358,Nógrád,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
04367,Bogyoszló,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04376,Lázi,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
04385,Magyartelek,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04394,Makád,Pest,ORSZEM-PEST,KSH_COUNTY
04400,Bekölce,Heves,ORSZEM-HEVES,KSH_COUNTY
04419,Nyésta,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
04428,Ács,Komárom-Esztergom,ORSZEM-KOMAROM-ESZTERGOM,KSH_COUNTY
04437,Udvar,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04446,Tiszakerecseny,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
04455,Nagylengyel,Zala,ORSZEM-ZALA,KSH_COUNTY
04464,Szakály,Tolna,ORSZEM-TOLNA,KSH_COUNTY
04473,Kányavár,Zala,ORSZEM-ZALA,KSH_COUNTY
04482,Oroszló,Baranya,ORSZEM-BARANYA,KSH_COUNTY
04491,Sényő,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
04507,Szendehely,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
04516,Rózsafa,Baranya,ORSZEM-BARANYA,KSH_COUNTY
